Subject Line,Ticket_Type,Client,Product
New user deployed: SHARE-PROD-Ask the Lion-LionLogin,110,158,27
New user deployed: SHARE-PROD-Stellantis-LionLogin,110,222,27
New user deployed: SHARE-PROD-Mondelez-SAML,110,208,27
New user deployed: SHARE-PROD-Mondelez-LionLogin,110,208,27
New user deployed: SHARE-PROD-L'Oreal-LionLogin,110,150,27
New user deployed: SHARE-PROD-PXP-LionLogin,110,221,27
New user deployed: SHARE-PROD-Visa-LionLogin,110,216,27
New user deployed: SHARE-PROD-Pmi-LionLogin,110,207,27
New user deployed on DrivePlus Nivea,110,197,183
New user deployed on DrivePlus Stellantis,110,222,183
New user deployed on DrivePlus Razorfish,110,206,183
New user deployed on DrivePlus Kaercher,110,215,183
New user deployed on DrivePlus Nestle,110,191,183
New user deployed on DrivePlus PGDPoland,110,205,183
New user deployed on DrivePlus Renault,110,218,183
New user deployed on DrivePlus Visa,110,216,183
New user deployed on DrivePlus Pxp,110,221,183
New user deployed on DrivePlus MF,110,149,183
New user deployed on DrivePlus Pmi,110,207,183
New user deployed on DrivePlus Mondelez,110,208,183
RENY BrandVault Account Request - Notification - RENY BrandVault New Account Request,110,161,27
User account locked on DrivePlus Nestle,109,191,183
User account locked due inactivity on DrivePlus Nivea,109,197,183
User account locked due inactivity on DrivePlus MF,109,149,183
User account locked due inactivity on DrivePlus Kaercher,109,215,183
User account locked due inactivity on DrivePlus Renault,109,218,183
User account locked on DrivePlus Elkjop,109,219,183